I,H,S,P
212 , 1014 , 15396 , 2.2992831541218637
213 , 1080 , 14068 , 2.1009557945041815
214 , 1080 , 16348 , 2.4414575866188772
215 , 1080 , 21440 , 3.2019115890083634
216 , 1080 , 13127 , 1.960424133811231
217 , 1080 , 37408 , 5.586618876941458
218 , 1080 , 23764 , 3.548984468339307
219 , 1080 , 19763 , 2.951463560334528
220 , 936 , 14127 , 2.1097670250896052
221 , 1058 , 11560 , 1.7264038231780168
222 , 1002 , 13235 , 1.9765531660692952
223 , 982 , 7148 , 1.0675029868578254
224 , 971 , 4365 , 0.6518817204301075
225 , 1076 , 12859 , 1.9204002389486259
226 , 1080 , 11309 , 1.6889187574671445
227 , 1080 , 13547 , 2.023148148148148
228 , 1080 , 9434 , 1.4089008363201911
229 , 978 , 8173 , 1.2205794504181602
230 , 1080 , 15766 , 2.3545400238948626
231 , 1080 , 12088 , 1.8052568697729985
232 , 1080 , 13194 , 1.970430107526882
233 , 989 , 16031 , 2.394115890083632
234 , 1080 , 18138 , 2.7087813620071683
235 , 1080 , 13588 , 2.0292712066905616
236 , 1080 , 25856 , 3.8614097968936685
237 , 1080 , 10472 , 1.5639187574671447
238 , 1080 , 14346 , 2.14247311827957
239 , 936 , 10190 , 1.5218040621266427
240 , 1080 , 13987 , 2.088859020310633
241 , 936 , 14357 , 2.1441158900836323
242 , 1020 , 18211 , 2.7196833930704902
243 , 1080 , 22408 , 3.3464755077658306
244 , 980 , 16562 , 2.4734169653524494
245 , 1080 , 12394 , 1.8509557945041815
246 , 1080 , 8412 , 1.2562724014336917
247 , 1080 , 12172 , 1.817801672640382
248 , 1040 , 11234 , 1.6777180406212664
249 , 1080 , 16136 , 2.409796893667861
250 , 1032 , 24394 , 3.6430704898446833
251 , 936 , 11603 , 1.7328255675029869
252 , 936 , 6674 , 0.9967144563918757
253 , 1080 , 12570 , 1.8772401433691757
254 , 1080 , 8429 , 1.2588112305854242
255 , 1080 , 23648 , 3.5316606929510157
256 , 989 , 10828 , 1.6170848267622462
257 , 1080 , 13167 , 1.9663978494623655
258 , 1051 , 10083 , 1.5058243727598564
259 , 1080 , 16136 , 2.4097968936678615
260 , 1080 , 15452 , 2.307646356033453
261 , 1080 , 14677 , 2.1919056152927117
262 , 935 , 21232 , 3.1708482676224614
263 , 918 , 6522 , 0.9740143369175628
264 , 1080 , 15849 , 2.3669354838709675
265 , 1080 , 8135 , 1.2149044205495818
266 , 1080 , 10200 , 1.5232974910394268
267 , 821 , 15652 , 2.337514934289128
268 , 1080 , 11809 , 1.763590203106332
269 , 915 , 8190 , 1.2231182795698925
270 , 1028 , 29556 , 4.413978494623656
271 , 766 , 9024 , 1.3476702508960572
272 , 936 , 9933 , 1.4834229390681002
273 , 893 , 10834 , 1.6179808841099161
274 , 904 , 22372 , 3.3410991636798086
275 , 966 , 13465 , 2.0109020310633214
276 , 1022 , 26544 , 3.9641577060931903
277 , 1018 , 17597 , 2.627986857825568
278 , 1080 , 9433 , 1.408751493428913
279 , 970 , 10638 , 1.588709677419355
280 , 936 , 14572 , 2.176224611708483
281 , 1080 , 13050 , 1.9489247311827957
282 , 1008 , 40964 , 6.11768219832736
283 , 1080 , 20390 , 3.0451015531660692
284 , 1080 , 23249 , 3.4720728793309443
285 , 893 , 18475 , 2.7591099163679815
286 , 1080 , 17784 , 2.6559139784946244
287 , 1080 , 22587 , 3.37320788530466
288 , 1060 , 16780 , 2.5059737156511352
289 , 934 , 19067 , 2.847520908004779
290 , 917 , 11118 , 1.6603942652329753
291 , 946 , 10442 , 1.5594384707287934
292 , 1018 , 8127 , 1.2137096774193548
293 , 929 , 9929 , 1.4828255675029869
294 , 1080 , 16967 , 2.533900836320191
295 , 1080 , 22147 , 3.307497013142174
296 , 1040 , 25626 , 3.827060931899642
297 , 920 , 25395 , 3.792562724014337
298 , 742 , 16915 , 2.5261350059737158
299 , 898 , 35210 , 5.258363201911589
300 , 1008 , 31842 , 4.755376344086022
301 , 914 , 39420 , 5.887096774193548
302 , 1018 , 46973 , 7.015083632019115
303 , 907 , 14548 , 2.1726403823178018
304 , 929 , 20371 , 3.0422640382317803
305 , 996 , 20836 , 3.1117084826762245
306 , 1080 , 29479 , 4.402479091995221
307 , 924 , 18564 , 2.7724014336917566
308 , 847 , 24179 , 3.6109617682198327
309 , 920 , 28471 , 4.251941457586618
310 , 968 , 19013 , 2.8394563918757467
311 , 1080 , 37514 , 5.602449223416966
312 , 944 , 36269 , 5.4165173237753885
313 , 907 , 14011 , 2.092443249701314
314 , 802 , 22774 , 3.4011350059737158
315 , 891 , 20648 , 3.0836320191158904
316 , 930 , 24731 , 3.693399044205496
317 , 874 , 34652 , 5.175029868578254
318 , 834 , 26720 , 3.9904420549581836
319 , 1012 , 50990 , 7.614994026284348
320 , 864 , 44321 , 6.619026284348864
321 , 894 , 45579 , 6.806899641577061
322 , 812 , 38839 , 5.800328554360814
323 , 1067 , 53707 , 8.020758661887694
324 , 1080 , 46603 , 6.959826762246117
325 , 994 , 62146 , 9.281063321385902
326 , 717 , 30288 , 4.523297491039427
327 , 1080 , 50043 , 7.4735663082437265
328 , 1080 , 37646 , 5.6221624850657115
329 , 706 , 45339 , 6.771057347670249
330 , 918 , 60038 , 8.966248506571088
331 , 1036 , 45765 , 6.834677419354839
332 , 846 , 53484 , 7.987455197132613
333 , 1007 , 50950 , 7.609020310633212
334 , 782 , 54904 , 8.19952210274791
335 , 1032 , 49292 , 7.3614097968936685
336 , 933 , 51548 , 7.698327359617682
337 , 860 , 47757 , 7.1321684587813605
338 , 1080 , 59336 , 8.861409796893666
339 , 734 , 32066 , 4.788829151732377
340 , 604 , 28867 , 4.311081242532855
341 , 832 , 48734 , 7.278076463560333
342 , 867 , 34790 , 5.195639187574671
343 , 586 , 34272 , 5.118279569892473
344 , 619 , 44761 , 6.684737156511348
345 , 646 , 35806 , 5.347371565113502
346 , 496 , 34518 , 5.155017921146954
347 , 321 , 25425 , 3.797043010752689
348 , 527 , 11934 , 1.7822580645161288
349 , 482 , 18414 , 2.75
350 , 485 , 40199 , 6.003434886499404
