I,H,S,P
523 , 146 , 12837 , 2.7989272632129776
524 , 268 , 13203 , 2.8787284144427003
525 , 248 , 12934 , 2.8200767486481766
526 , 344 , 16037 , 3.4966422466422467
527 , 197 , 12099 , 2.6380167451596024
528 , 395 , 14097 , 3.0736525379382527
529 , 302 , 12199 , 2.659820338391766
530 , 291 , 15857 , 3.45739577882435
531 , 264 , 14573 , 3.177437641723356
532 , 205 , 17962 , 3.916361416361417
533 , 367 , 10441 , 2.2765131693703125
534 , 232 , 10638 , 2.319466248037676
535 , 120 , 10653 , 2.3227367870225013
536 , 189 , 13851 , 3.020015698587128
537 , 290 , 13908 , 3.0324437467294607
538 , 344 , 17855 , 3.893031571603
539 , 396 , 19823 , 4.322126286412
540 , 235 , 15276 , 3.3307169021454737
541 , 280 , 13086 , 2.8532182103610677
542 , 281 , 10965 , 2.3907639979068547
543 , 308 , 16135 , 3.518009768009768
544 , 291 , 14459 , 3.1525815454386885
545 , 208 , 14201 , 3.096328274899703
546 , 360 , 12979 , 2.8298883656026503
547 , 298 , 16284 , 3.550497121925694
548 , 336 , 15736 , 3.431013431013431
549 , 283 , 13046 , 2.8444967730682014
550 , 257 , 12400 , 2.7036455607884182
551 , 238 , 12851 , 2.8019797662654806
552 , 282 , 12581 , 2.743110064538636
553 , 232 , 14678 , 3.2003314146171293
554 , 285 , 13291 , 2.897915576487006
555 , 237 , 15901 , 3.466989359846503
556 , 198 , 12629 , 2.753575789290074
557 , 286 , 15591 , 3.3993982208267917
558 , 243 , 10940 , 2.385313099598814
559 , 200 , 10854 , 2.3665620094191526
560 , 279 , 15418 , 3.361678004535148
561 , 257 , 14741 , 3.214067678353393
562 , 286 , 16218 , 3.536106750392465
563 , 360 , 22841 , 4.9801587301587285
564 , 164 , 14464 , 3.1536717251002964
565 , 289 , 15588 , 3.398744113029827
566 , 218 , 18910 , 4.123059480202338
567 , 137 , 14195 , 3.0950200593057744
568 , 226 , 15055 , 3.2825309611023887
569 , 242 , 13247 , 2.8883219954648527
570 , 172 , 11552 , 2.5187510901796615
571 , 199 , 12333 , 2.6890371533228676
572 , 331 , 14130 , 3.080847723704866
573 , 207 , 15041 , 3.279478458049888
574 , 200 , 13664 , 2.9792429792429798
575 , 205 , 17014 , 3.7096633525204954
576 , 253 , 10127 , 2.2080498866213154
577 , 256 , 16813 , 3.6658381301238445
578 , 324 , 19905 , 4.340005232862377
579 , 303 , 20684 , 4.5098552241409395
580 , 208 , 13457 , 2.934109541252398
581 , 219 , 14483 , 3.157814407814407
582 , 288 , 21504 , 4.688644688644689
583 , 292 , 18525 , 4.039115646258503
584 , 186 , 13426 , 2.927350427350427
585 , 186 , 14849 , 3.2376155590441305
586 , 195 , 15866 , 3.459358102215245
587 , 357 , 15821 , 3.4495464852607722
588 , 299 , 13479 , 2.9389063317634747
589 , 269 , 11938 , 2.602912960055818
590 , 188 , 10345 , 2.2555817198674344
591 , 194 , 13585 , 2.9620181405895685
592 , 390 , 13880 , 3.0263387406244537
593 , 273 , 16160 , 3.5234606663178094
594 , 213 , 17008 , 3.7083551369265657
595 , 208 , 11565 , 2.521585557299843
596 , 251 , 13907 , 3.032225710797139
597 , 261 , 16364 , 3.567939996511425
598 , 265 , 16175 , 3.526731205302634
599 , 174 , 17333 , 3.779216814931099
600 , 255 , 14224 , 3.1013431013431014
601 , 260 , 12256 , 2.6722483865341013
602 , 250 , 11934 , 2.60204081632653
603 , 282 , 12671 , 2.7627332984475843
604 , 240 , 14478 , 3.1567242281527994
605 , 314 , 16393 , 3.574263038548752
606 , 283 , 18544 , 4.043258328972615
607 , 245 , 13532 , 2.950462236176522
608 , 359 , 22111 , 4.820992499563928
609 , 264 , 11270 , 2.4572649572649574
610 , 192 , 14074 , 3.068637711494854
611 , 271 , 14634 , 3.1907378335949756
612 , 220 , 11299 , 2.463587999302285
613 , 306 , 15101 , 3.292560613989185
614 , 271 , 17545 , 3.825440432583288
615 , 180 , 9535 , 2.0789726146869008
616 , 217 , 13183 , 2.8743676957962676
617 , 310 , 23389 , 5.099642421070991
618 , 340 , 20125 , 4.387973137973138
619 , 242 , 18116 , 3.9499389499389506
620 , 229 , 14747 , 3.215375893947323
