I,H,S,P
199 , 236 , 17192 , 4.145447530864196
200 , 325 , 24130 , 5.818383487654321
201 , 320 , 29146 , 7.027874228395062
202 , 197 , 14447 , 3.483555169753087
203 , 314 , 17858 , 4.306037808641974
204 , 308 , 19206 , 4.63107638888889
205 , 188 , 10072 , 2.4286265432098766
206 , 308 , 18225 , 4.394531250000001
207 , 249 , 19724 , 4.755979938271606
208 , 200 , 20780 , 5.010609567901235
209 , 276 , 19396 , 4.676890432098765
210 , 277 , 30037 , 7.242717978395062
211 , 279 , 14054 , 3.3887924382716057
212 , 231 , 14811 , 3.5713252314814805
213 , 330 , 24914 , 6.007426697530865
214 , 187 , 16673 , 4.020302854938271
215 , 252 , 14062 , 3.3907214506172836
216 , 271 , 26365 , 6.357301311728396
217 , 364 , 29656 , 7.150848765432098
218 , 282 , 21340 , 5.145640432098764
219 , 313 , 20440 , 4.928626543209876
220 , 243 , 21190 , 5.109471450617284
221 , 270 , 24254 , 5.848283179012346
222 , 303 , 27034 , 6.518614969135802
223 , 190 , 19644 , 4.736689814814815
224 , 248 , 22031 , 5.3122588734567895
225 , 248 , 26044 , 6.279899691358024
226 , 205 , 17565 , 4.23538773148148
227 , 227 , 21115 , 5.0913869598765435
228 , 330 , 29962 , 7.2246334876543195
229 , 235 , 19470 , 4.694733796296298
230 , 335 , 25034 , 6.03636188271605
231 , 406 , 23185 , 5.590518904320989
232 , 339 , 16722 , 4.032118055555555
233 , 259 , 14136 , 3.4085648148148158
234 , 269 , 18599 , 4.484712577160493
235 , 337 , 22603 , 5.45018325617284
236 , 288 , 22433 , 5.40919174382716
237 , 288 , 19073 , 4.599006558641976
238 , 304 , 21954 , 5.29369212962963
239 , 264 , 26769 , 6.454716435185184
240 , 252 , 26482 , 6.385513117283952
241 , 347 , 24074 , 5.804880401234567
242 , 311 , 23033 , 5.5538676697530835
243 , 278 , 18694 , 4.507619598765432
244 , 414 , 24314 , 5.862750771604938
245 , 329 , 24597 , 5.930989583333331
246 , 369 , 26933 , 6.494261188271604
247 , 271 , 15707 , 3.7873746141975304
248 , 277 , 24346 , 5.870466820987655
249 , 248 , 15969 , 3.850549768518518
250 , 315 , 19361 , 4.66845100308642
251 , 291 , 18907 , 4.558979552469136
252 , 283 , 13153 , 3.1715374228395063
253 , 258 , 24525 , 5.913628472222224
254 , 311 , 20204 , 4.871720679012346
255 , 410 , 26392 , 6.363811728395063
256 , 301 , 28457 , 6.861738040123457
257 , 391 , 25007 , 6.029851466049382
258 , 312 , 15759 , 3.7999131944444438
259 , 330 , 20279 , 4.889805169753086
260 , 278 , 20554 , 4.956114969135803
261 , 253 , 20166 , 4.862557870370369
262 , 276 , 22850 , 5.509741512345679
263 , 406 , 18574 , 4.478684413580247
264 , 245 , 21986 , 5.301408179012346
265 , 283 , 12569 , 3.0307195216049383
266 , 218 , 13612 , 3.2822145061728394
267 , 267 , 18942 , 4.567418981481481
268 , 341 , 29526 , 7.119502314814817
269 , 421 , 18924 , 4.563078703703703
270 , 379 , 34577 , 8.337432484567898
271 , 216 , 12235 , 2.9501832561728403
272 , 293 , 13984 , 3.3719135802469133
273 , 306 , 13356 , 3.2204861111111107
274 , 299 , 19312 , 4.656635802469134
275 , 303 , 20937 , 5.048466435185185
276 , 286 , 19266 , 4.645543981481481
277 , 259 , 18067 , 4.356433256172841
278 , 345 , 16141 , 3.8920235339506175
279 , 310 , 23407 , 5.644048996913578
280 , 365 , 22717 , 5.477671682098765
281 , 285 , 24321 , 5.864438657407408
282 , 235 , 20186 , 4.867380401234568
283 , 282 , 20584 , 4.963348765432099
284 , 380 , 20321 , 4.899932484567903
285 , 303 , 24199 , 5.835021219135804
286 , 270 , 18413 , 4.439863040123457
287 , 264 , 16215 , 3.9098668981481475
288 , 380 , 25372 , 6.117862654320989
289 , 282 , 26887 , 6.483169367283948
290 , 296 , 16310 , 3.9327739197530867
291 , 314 , 22857 , 5.511429398148148
292 , 330 , 22346 , 5.388213734567902
293 , 260 , 18221 , 4.393566743827161
294 , 247 , 20167 , 4.862798996913579
295 , 327 , 23020 , 5.550733024691358
296 , 155 , 17830 , 4.299286265432099
297 , 222 , 19705 , 4.751398533950616
298 , 242 , 17327 , 4.177999614197532
299 , 313 , 17712 , 4.270833333333334
300 , 161 , 16157 , 3.8958815586419746
301 , 236 , 16247 , 3.9175829475308626
302 , 267 , 19758 , 4.76417824074074
303 , 376 , 19633 , 4.734037422839507
304 , 242 , 15627 , 3.768084490740741
305 , 375 , 25007 , 6.029851466049383
306 , 250 , 20852 , 5.027970679012346
307 , 228 , 16277 , 3.924816743827161
308 , 299 , 19953 , 4.811197916666666
309 , 250 , 17308 , 4.173418209876544
310 , 280 , 15817 , 3.8138985339506175
311 , 260 , 16711 , 4.029465663580248
312 , 232 , 14876 , 3.5869984567901243
313 , 199 , 15186 , 3.661747685185185
314 , 220 , 18296 , 4.411651234567901
315 , 195 , 21013 , 5.066792052469135
316 , 312 , 23256 , 5.607638888888888
317 , 284 , 28018 , 6.755883487654321
318 , 268 , 23060 , 5.560378086419753
319 , 237 , 23744 , 5.7253086419753085
320 , 246 , 13821 , 3.332609953703704
321 , 189 , 16075 , 3.876109182098765
322 , 245 , 16737 , 4.035734953703703
323 , 364 , 19028 , 4.588155864197532
324 , 428 , 19262 , 4.6445794753086425
325 , 303 , 24374 , 5.877218364197531
326 , 240 , 22557 , 5.439091435185186
327 , 301 , 27877 , 6.72188464506173
328 , 316 , 18041 , 4.350163966049384
329 , 298 , 28088 , 6.772762345679013
330 , 268 , 25256 , 6.0898919753086425
331 , 317 , 20442 , 4.929108796296295
332 , 289 , 18156 , 4.377893518518519
333 , 187 , 12252 , 2.954282407407407
334 , 252 , 18417 , 4.440827546296297
335 , 204 , 20642 , 4.977334104938272
336 , 228 , 17659 , 4.258053626543209
337 , 217 , 23704 , 5.715663580246914
338 , 252 , 22903 , 5.522521219135801
339 , 266 , 21966 , 5.296585648148148
340 , 254 , 16555 , 3.991849922839506
341 , 264 , 18241 , 4.398389274691358
342 , 328 , 27772 , 6.696566358024692
343 , 165 , 11418 , 2.753182870370371
344 , 342 , 27024 , 6.516203703703704
345 , 224 , 18064 , 4.35570987654321
346 , 273 , 16870 , 4.067804783950617
347 , 216 , 14437 , 3.4811439043209886
348 , 279 , 23308 , 5.620177469135802
349 , 337 , 20286 , 4.891493055555555
350 , 300 , 26380 , 6.3609182098765435
351 , 250 , 22628 , 5.456211419753085
352 , 460 , 34894 , 8.413869598765432
353 , 430 , 20605 , 4.968412422839506
354 , 404 , 26651 , 6.426263503086419
355 , 184 , 14152 , 3.4124228395061724
356 , 288 , 19193 , 4.627941743827161
357 , 234 , 15299 , 3.6889949845679015
358 , 302 , 22925 , 5.527826003086419
359 , 325 , 15423 , 3.718894675925926
360 , 285 , 16086 , 3.878761574074074
361 , 163 , 11516 , 2.7768132716049387
362 , 350 , 20983 , 5.05955825617284
363 , 301 , 17393 , 4.193913966049382
364 , 306 , 19569 , 4.718605324074074
365 , 294 , 19390 , 4.675443672839508
366 , 253 , 18672 , 4.502314814814817
367 , 371 , 22151 , 5.341194058641975
368 , 327 , 17996 , 4.339313271604938
369 , 237 , 14370 , 3.4649884259259265
370 , 341 , 24137 , 5.82007137345679
371 , 279 , 20370 , 4.911747685185185
372 , 354 , 26395 , 6.3645351080246915
373 , 303 , 16318 , 3.934702932098765
374 , 226 , 16911 , 4.077690972222222
375 , 284 , 17193 , 4.1456886574074066
376 , 416 , 29065 , 7.008342978395062
377 , 340 , 19566 , 4.717881944444445
378 , 402 , 23076 , 5.564236111111111
379 , 326 , 18919 , 4.561873070987654
380 , 396 , 26485 , 6.386236496913581
381 , 199 , 24501 , 5.907841435185185
382 , 416 , 23950 , 5.7749807098765435
383 , 416 , 33070 , 7.974054783950616
384 , 417 , 25197 , 6.075665509259258
385 , 322 , 19390 , 4.675443672839508
386 , 291 , 23437 , 5.651282793209877
387 , 285 , 24391 , 5.881317515432098
388 , 263 , 15530 , 3.744695216049383
389 , 420 , 25975 , 6.2632619598765435
390 , 358 , 25798 , 6.220582561728394
391 , 237 , 21082 , 5.083429783950619
392 , 237 , 20434 , 4.927179783950617
393 , 333 , 25464 , 6.140046296296298
394 , 271 , 20601 , 4.967447916666666
395 , 345 , 18074 , 4.3581211419753085
396 , 306 , 22491 , 5.423177083333332
397 , 237 , 21931 , 5.288146219135801
398 , 273 , 16389 , 3.951822916666667
399 , 300 , 30126 , 7.264178240740742
400 , 346 , 20319 , 4.899450231481481
401 , 322 , 27705 , 6.68041087962963
402 , 339 , 21141 , 5.097656250000001
403 , 288 , 19773 , 4.767795138888888
404 , 310 , 16691 , 4.02464313271605
405 , 335 , 22220 , 5.357831790123457
406 , 431 , 28339 , 6.833285108024692
407 , 236 , 16787 , 4.047791280864197
408 , 265 , 15060 , 3.6313657407407405
409 , 250 , 27808 , 6.705246913580247
410 , 207 , 15907 , 3.8355999228395055
411 , 171 , 15452 , 3.725887345679013
412 , 291 , 20346 , 4.905960648148149
413 , 280 , 16517 , 3.9826871141975304
414 , 232 , 20249 , 4.882571373456789
415 , 291 , 22925 , 5.52782600308642
416 , 245 , 16691 , 4.02464313271605
417 , 177 , 13293 , 3.205295138888889
418 , 260 , 18339 , 4.4220196759259265
419 , 267 , 32038 , 7.725212191358025
420 , 234 , 16670 , 4.019579475308642
421 , 256 , 19162 , 4.620466820987654
422 , 195 , 17818 , 4.296392746913582
423 , 167 , 16189 , 3.903597608024691
424 , 223 , 18704 , 4.510030864197532
425 , 210 , 20944 , 5.050154320987654
426 , 264 , 18464 , 4.4521604938271615
427 , 282 , 20766 , 5.007233796296295
428 , 236 , 22594 , 5.448013117283952
429 , 156 , 14263 , 3.4391878858024696
430 , 169 , 12425 , 2.9959972993827155
431 , 201 , 16955 , 4.0883005401234565
432 , 294 , 22482 , 5.421006944444445
433 , 190 , 15814 , 3.8131751543209877
434 , 278 , 21863 , 5.271749614197532
435 , 256 , 18294 , 4.411168981481482
