I,S,P
806,37869,4.859859859859858
807,57381,7.363902363902365
808,43793,5.620107286773955
809,38743,4.972023305356638
810,23467,3.0116013449346792
811,17715,2.273427273427274
812,26498,3.4005800672467337
813,43682,5.605862272528938
814,38865,4.987679987679988
815,28554,3.664433664433664
816,35747,4.587536254202921
817,20508,2.6318626318626315
818,19892,2.5528092194758867
819,19049,2.4446241112907767
820,28337,3.6365853032519695
821,18675,2.3966273966273968
822,24633,3.161238161238161
823,24181,3.1032314365647697
824,24213,3.1073381073381072
825,29485,3.78391211724545
826,22842,2.9313929313929314
827,26541,3.4060984060984056
828,28792,3.694977028310362
829,29534,3.7902004568671233
830,35317,4.532352865686199
831,28221,3.621698621698621
832,22033,2.8275711609044945
833,30022,3.85282718616052
834,33796,4.337157670491004
835,30854,3.9596006262672927
836,41814,5.3661353661353655
837,35433,4.547239547239548
838,30082,3.8605271938605266
839,28769,3.6920253586920255
900,31081,3.9887323220656543
901,33130,4.251687585020919
902,36196,4.645157978491311
903,34834,4.470367803701138
904,34339,4.4068427401760735
905,33191,4.259515926182593
906,26059,3.3442416775750097
907,33280,4.270937604270936
908,34417,4.416852750186085
909,30151,3.8693822027155362
910,34989,4.490259490259491
911,32682,4.1941941941941945
912,32748,4.202664202664204
913,36898,4.7352480685814005
914,34817,4.468186134852801
915,36777,4.719719719719717
916,31829,4.084725751392419
917,40204,5.159518492851827
918,34667,4.448936115602783
919,39260,5.038371705038373
920,34724,4.456251122917791
921,38358,4.922614922614921
922,22128,2.839762839762839
923,25934,3.3281999948666616
924,40526,5.200841867508536
925,29051,3.7282153948820618
926,34037,4.368086034752701
927,37165,4.769513102846438
928,32088,4.117964117964119
929,37427,4.803136469803136
930,34049,4.369626036292703
931,36526,4.687508020841354
932,30697,3.9394522727856063
933,37305,4.7874797874797865
934,35367,4.538769538769538
935,38490,4.939554939554942
936,48975,6.2851312851312855
937,38687,4.964836631503298
938,37325,4.7900464567131245
939,35516,4.557891224557889
1000,25075,3.2179615512948843
1001,35653,4.575472908806243
1002,36519,4.686609686609686
1003,25826,3.314339981006647
1004,37109,4.762326428993094
1005,42947,5.511537178203842
1006,30471,3.910448910448911
1007,28359,3.6394086394086393
1008,23488,3.0142963476296813
1009,27358,3.510946844280178
1010,36931,4.739483072816407
1011,34109,4.3773260439927135
1012,29442,3.7783937783937787
1013,38708,4.967531634198301
1014,34244,4.394651061317728
1015,38925,4.995379995379994
1016,47332,6.074279407612741
1017,44725,5.7397140730474066
1018,49738,6.3830497163830495
1019,43084,5.529118862452196
1020,41179,5.284643617976951
1021,33795,4.3370293370293345
1022,35234,4.521701188367856
1023,37768,4.8468981802315145
1024,33343,4.279022612355947
1025,38738,4.971381638048305
1026,38724,4.969584969584967
1027,36047,4.626036292702959
1028,38125,4.89271322604656
1029,36152,4.6395113061779725
1030,49167,6.3097713097713095
1031,36707,4.710736377403044
1032,43682,5.605862272528938
1033,34699,4.45304278637612
1034,42342,5.433895433895434
1035,47011,6.033084366417701
1036,38695,4.965863299196633
1037,43398,5.569415569415568
1038,39011,5.00641667308334
1039,53380,6.850440183773515
1040,58706,7.5339442006108674
1041,45770,5.873822540489209
1042,41525,5.3290469957136635
1043,47548,6.101999435332768
1044,47152,6.051179384512718
1045,46953,6.0256410256410255
1046,55422,7.112497112497112
1047,34260,4.396704396704396
1048,37703,4.8385565052231705
1049,37053,4.755139755139754
1050,44462,5.705962372629039
1051,44763,5.7445907445907425
1052,33721,4.3275326608659945
1053,53713,6.893175226508559
1054,38445,4.933779933779934
1055,37025,4.751546418213083
1056,41079,5.271810271810273
1057,35642,4.574061240727906
1058,41480,5.323271989938657
1059,57538,7.384050717384051
1060,41362,5.308128641461972
1061,41072,5.270911937578604
1062,43825,5.6242139575472905
1063,34524,4.430584430584429
1064,36764,4.718051384718049
1065,35407,4.543902877236212
1066,36332,4.662611329277997
1067,39656,5.089191755858422
1068,46027,5.906804240137572
1069,44880,5.759605759605759
1070,42418,5.443648776982111
1071,43899,5.633710633710633
1072,44411,5.699417366084035
1073,41836,5.368958702292034
1074,46811,6.007417674084341
1075,45573,5.848540848540847
1076,30666,3.935473935473936
1077,40148,5.1523318189984835
1078,33794,4.33690100356767
1079,48385,6.2094145427478775
1080,61034,7.832704499371166
1081,50565,6.489181489181488
1082,60176,7.722594389261056
1083,30239,3.880675547342214
1084,31775,4.077795744462412
1085,41912,5.378712045378712
1086,57837,7.4224224224224224
1087,39616,5.084058417391752
1088,38303,4.915556582223249
1089,48278,6.195682862349532
1090,53542,6.8712302045635365
1091,43741,5.61343394676728
1092,47197,6.056954390287723
1093,69726,8.948178948178946
1094,32382,4.155694155694157
1095,30243,3.8811888811888817
1096,27939,3.585508585508585
1097,30044,3.855650522317189
1098,46508,5.968532635199303
1099,32454,4.1649341649341665
1100,32608,4.184697518030852
1101,43457,5.57698724365391
1102,37551,4.819049819049819
1103,34593,4.439439439439439
1104,40947,5.254870254870253
1105,52163,6.694258360925027
1106,41744,5.3571520238186885
1107,40131,5.150150150150148
1108,43797,5.620620620620619
1109,31213,4.005672339005671
1110,28921,3.7115320448653786
1111,28392,3.6436436436436432
