I,H,S,P
206 , 248 , 26233 , 6.803657941966741
207 , 406 , 26192 , 6.793024389737845
208 , 413 , 26153 , 6.782909547373774
209 , 248 , 25625 , 6.645970143060181
210 , 421 , 25769 , 6.683317253327525
211 , 344 , 26135 , 6.778241158590352
212 , 436 , 26383 , 6.842561181828554
213 , 263 , 26700 , 6.924776695403195
214 , 218 , 27100 , 7.028518668368034
215 , 271 , 27495 , 7.1309638666708155
216 , 305 , 27716 , 7.1882813067338915
217 , 354 , 27800 , 7.2100671210565075
218 , 423 , 28265 , 7.330667164628137
219 , 394 , 28522 , 7.397321382258048
220 , 413 , 28734 , 7.452304627929415
221 , 414 , 28717 , 7.447895594078409
222 , 242 , 28441 , 7.376313632732668
223 , 242 , 28245 , 7.325480065979896
224 , 242 , 28090 , 7.285280051456018
225 , 269 , 27816 , 7.214216799975103
226 , 358 , 27401 , 7.106584503024079
227 , 394 , 27133 , 7.037077381137634
228 , 343 , 26975 , 6.996099301816521
229 , 276 , 27094 , 7.026962538773562
230 , 189 , 27519 , 7.137188385048706
231 , 396 , 28189 , 7.310956189764818
232 , 266 , 28435 , 7.374757503138194
233 , 275 , 28270 , 7.331963939290198
234 , 242 , 27993 , 7.2601226230120455
235 , 434 , 27283 , 7.07598062099945
236 , 446 , 27086 , 7.024887699314265
237 , 424 , 27813 , 7.213438735177867
238 , 275 , 28233 , 7.322367806790949
239 , 275 , 28260 , 7.329370389966075
240 , 355 , 28416 , 7.369829759422362
241 , 349 , 28508 , 7.393690413204277
242 , 349 , 28499 , 7.39135621881257
243 , 272 , 28515 , 7.395505897731163
244 , 261 , 28410 , 7.3682736298278915
245 , 466 , 28333 , 7.3483033000321605
246 , 235 , 27441 , 7.116958700320561
247 , 266 , 26951 , 6.989874783438631
248 , 297 , 26901 , 6.976907036818027
249 , 430 , 27283 , 7.0759806209994505
250 , 379 , 27675 , 7.177647754504995
251 , 361 , 27904 , 7.237040034027367
252 , 242 , 28021 , 7.267384561119584
253 , 242 , 28063 , 7.278277468280892
254 , 242 , 28330 , 7.347525235234925
255 , 411 , 28731 , 7.451526563132176
256 , 411 , 28688 , 7.440374301038458
257 , 431 , 28271 , 7.332223294222609
258 , 337 , 27769 , 7.202027118151736
259 , 337 , 27682 , 7.17946323903188
260 , 312 , 27653 , 7.171941945991929
261 , 281 , 27600 , 7.158196134574087
262 , 218 , 27204 , 7.055491581338893
263 , 390 , 26695 , 6.9234799207411335
264 , 445 , 26481 , 6.867977965204939
265 , 436 , 26349 , 6.833743114126545
266 , 301 , 26081 , 6.764235992240101
267 , 337 , 25848 , 6.703806292988082
268 , 244 , 25649 , 6.6521946614380685
269 , 403 , 26136 , 6.778500513522766
270 , 397 , 26222 , 6.800805037710209
271 , 436 , 26739 , 6.934891537767264
272 , 455 , 26913 , 6.980019296006971
273 , 479 , 26955 , 6.990912203168279
274 , 342 , 26849 , 6.963420580332596
275 , 229 , 26871 , 6.969126388845662
276 , 218 , 27146 , 7.04044899525899
277 , 218 , 27078 , 7.0228128598549695
278 , 218 , 26971 , 6.9950618820868735
279 , 262 , 26819 , 6.9556399323602305
280 , 464 , 26908 , 6.9787225213449116
281 , 464 , 26898 , 6.976128972020789
282 , 432 , 26789 , 6.947859284387871
283 , 333 , 26447 , 6.85915989750293
284 , 278 , 26339 , 6.831149564802425
285 , 344 , 26250 , 6.808066975817747
286 , 454 , 25913 , 6.720664363594868
287 , 311 , 25569 , 6.631446266845103
288 , 422 , 25664 , 6.656084985424252
289 , 301 , 25833 , 6.699915969001897
290 , 274 , 26137 , 6.778759868455179
291 , 340 , 26141 , 6.779797288184826
292 , 384 , 26108 , 6.771238575415227
293 , 408 , 26314 , 6.824665691492122
294 , 435 , 26391 , 6.844636021287854
295 , 218 , 26901 , 6.976907036818026
296 , 208 , 26960 , 6.992208977830341
297 , 208 , 27070 , 7.020738020395672
298 , 208 , 27176 , 7.048229643231355
299 , 208 , 27271 , 7.072868361810503
300 , 458 , 27863 , 7.226406481798471
301 , 454 , 27958 , 7.251045200377621
302 , 436 , 28073 , 7.280871017605013
303 , 420 , 28277 , 7.333779423817083
304 , 403 , 28387 , 7.362308466382414
305 , 409 , 28619 , 7.422478810702021
306 , 413 , 28750 , 7.456454306848008
307 , 275 , 28455 , 7.379944601786438
308 , 242 , 28158 , 7.30291618686004
309 , 330 , 27907 , 7.237818098824604
310 , 434 , 27429 , 7.113846441131617
311 , 325 , 26956 , 6.991171558100693
312 , 299 , 27003 , 7.003361239924061
313 , 308 , 27097 , 7.027740603570799
314 , 115 , 27930 , 7.243783262270085
315 , 224 , 28035 , 7.271015530173353
316 , 428 , 28301 , 7.340003942194974
317 , 329 , 28430 , 7.373460728476133
318 , 406 , 28279 , 7.334298133681907
319 , 242 , 28004 , 7.262975527268577
320 , 389 , 27612 , 7.161308393763032
321 , 429 , 27428 , 7.113587086199206
322 , 434 , 27279 , 7.0749432012698
323 , 445 , 27119 , 7.033446412083864
324 , 449 , 26955 , 6.990912203168282
325 , 234 , 27866 , 7.227184546595708
326 , 242 , 28009 , 7.264272301930639
327 , 210 , 28231 , 7.321849096926125
328 , 253 , 28380 , 7.360492981855529
329 , 344 , 28424 , 7.371904598881661
330 , 274 , 28446 , 7.3776104073947275
331 , 460 , 28304 , 7.340782006992209
332 , 354 , 27399 , 7.106065793159255
333 , 272 , 27017 , 7.006992208977831
334 , 265 , 26842 , 6.961605095805711
335 , 255 , 26992 , 7.000508335667528
336 , 410 , 27200 , 7.054454161609246
337 , 394 , 27613 , 7.161567748695444
338 , 242 , 28032 , 7.270237465376117
339 , 242 , 28361 , 7.355565238139699
340 , 384 , 28471 , 7.384094280705031
341 , 412 , 28598 , 7.417032357121369
342 , 421 , 28349 , 7.352452978950755
343 , 454 , 27898 , 7.2354839044328925
344 , 218 , 27250 , 7.06742190822985
345 , 218 , 27198 , 7.053935451744422
346 , 218 , 26971 , 6.995061882086873
347 , 218 , 26769 , 6.942672185739628
348 , 348 , 26657 , 6.913624433309472
349 , 408 , 26308 , 6.823109561897648
350 , 403 , 26261 , 6.810919880074279
351 , 273 , 26163 , 6.785503096697893
352 , 431 , 25701 , 6.665681117923499
353 , 250 , 25622 , 6.645192078262945
354 , 366 , 25654 , 6.653491436100132
355 , 366 , 25721 , 6.670868216571742
356 , 417 , 26084 , 6.7650140570373365
357 , 354 , 26514 , 6.876536677974542
358 , 394 , 26556 , 6.887429585135851
359 , 473 , 26891 , 6.974313487493905
360 , 473 , 26913 , 6.98001929600697
361 , 454 , 26842 , 6.961605095805712
362 , 218 , 27089 , 7.025665764111501
363 , 218 , 27117 , 7.032927702219043
364 , 257 , 27202 , 7.054972871474069
365 , 184 , 27112 , 7.03163092755698
366 , 235 , 26851 , 6.9639392901974215
367 , 417 , 26922 , 6.9823534903986815
368 , 477 , 26951 , 6.989874783438632
369 , 477 , 26867 , 6.968088969116015
370 , 347 , 26578 , 6.893135393648915
371 , 413 , 26247 , 6.807288911020509
372 , 449 , 25891 , 6.714958555081801
373 , 354 , 25653 , 6.6532320811677215
374 , 165 , 25996 , 6.742190822985069
375 , 383 , 26169 , 6.787059226292367
376 , 384 , 26198 , 6.7945805193323165
377 , 428 , 26311 , 6.823887626694883
378 , 432 , 26373 , 6.839967632504436
379 , 218 , 26979 , 6.997136721546171
380 , 278 , 27605 , 7.159492909236145
381 , 428 , 28180 , 7.308621995373107
382 , 413 , 28705 , 7.444783334889464
383 , 244 , 28446 , 7.377610407394728
384 , 244 , 28154 , 7.301878767130393
385 , 268 , 27846 , 7.221997447947465
386 , 432 , 27593 , 7.156380650047204
387 , 402 , 27223 , 7.060419325054723
388 , 252 , 26984 , 6.998433496208231
389 , 297 , 26957 , 6.9914309130331045
390 , 354 , 27215 , 7.058344485595426
391 , 112 , 27680 , 7.178944529167056
392 , 424 , 28401 , 7.365939435436182
393 , 330 , 28456 , 7.380203956718848
394 , 338 , 28437 , 7.375276213003018
395 , 256 , 28316 , 7.343894266181154
396 , 242 , 28022 , 7.267643916051994
397 , 384 , 27768 , 7.201767763219319
398 , 383 , 27636 , 7.167532912140922
399 , 434 , 27337 , 7.089985787349702
400 , 422 , 27452 , 7.119811604577096
401 , 384 , 27634 , 7.167014202276099
402 , 435 , 27856 , 7.224590997271586
403 , 364 , 27852 , 7.223553577541938
404 , 193 , 28038 , 7.27179359497059
405 , 181 , 28214 , 7.31744006307512
406 , 214 , 28369 , 7.357640077598996
407 , 375 , 28416 , 7.369829759422364
408 , 291 , 28496 , 7.390578154015332
409 , 176 , 28483 , 7.387206539893976
410 , 156 , 28495 , 7.390318799082921
411 , 468 , 28348 , 7.35219362401834
412 , 427 , 28189 , 7.310956189764818
413 , 414 , 27229 , 7.061975454649196
414 , 249 , 26891 , 6.974313487493906
415 , 246 , 26986 , 6.998952206073056
416 , 429 , 27275 , 7.073905781540153
417 , 435 , 27450 , 7.119292894712271
418 , 391 , 27635 , 7.16727355720851
419 , 269 , 27888 , 7.232890355108775
420 , 242 , 28008 , 7.264012946998226
421 , 228 , 28221 , 7.319255547602006
422 , 222 , 28328 , 7.347006525370101
423 , 422 , 28581 , 7.412623323270361
424 , 415 , 28700 , 7.443486560227403
425 , 419 , 28270 , 7.3319639392901985
426 , 440 , 28120 , 7.293060699428381
427 , 449 , 27854 , 7.224072287406759
428 , 264 , 27278 , 7.074683846337391
429 , 218 , 27218 , 7.059122550392662
430 , 218 , 26895 , 6.975350907223555
431 , 397 , 26628 , 6.906103140269521
432 , 435 , 26399 , 6.846710860747148
433 , 402 , 26244 , 6.806510846223274
434 , 384 , 26098 , 6.768645026091106
435 , 166 , 25882 , 6.712624360690092
436 , 115 , 25891 , 6.714958555081799
437 , 366 , 25829 , 6.698878549272249
438 , 368 , 25668 , 6.657122405153899
439 , 449 , 25908 , 6.7193675889328075
440 , 448 , 25938 , 6.727148236905172
441 , 399 , 26129 , 6.77668502899588
442 , 379 , 26158 , 6.784206322035832
443 , 423 , 26607 , 6.900656686688867
444 , 433 , 26784 , 6.946562509725808
445 , 476 , 26950 , 6.9896154285062195
446 , 478 , 26926 , 6.983390910128328
447 , 451 , 26873 , 6.969645098710488
448 , 218 , 27023 , 7.008548338572303
449 , 261 , 27224 , 7.060678679987138
450 , 218 , 27195 , 7.053157386947182
451 , 218 , 26890 , 6.974054132561492
452 , 430 , 26871 , 6.969126388845663
453 , 432 , 26988 , 6.999470915937878
454 , 432 , 26842 , 6.961605095805712
455 , 396 , 26687 , 6.921405081281836
456 , 373 , 26220 , 6.800286327845383
457 , 450 , 25942 , 6.728185656634818
458 , 254 , 25617 , 6.643895303600884
459 , 422 , 25642 , 6.650379176911185
460 , 256 , 26045 , 6.754899214673266
461 , 389 , 26228 , 6.802361167304679
462 , 418 , 26521 , 6.878352162501425
463 , 383 , 26710 , 6.927370244727313
